id,userId,latitude,longitude,timeStamp,hashtags
624006801474867200,28421046,-73.99366,40.602195,1437609789,#notheroworship #mccain
624006836384100352,23736447,-73.926583,40.829261,1437609797,#arod #yankees
624006936837623809,16490235,-73.985812,40.754946,1437609821,#blackiveague #columbia #golions #cuj11
624006985780985856,289203594,-73.988586,40.764519,1437609833,#dinner #ageha #sushibar #nyu #taiwanese #thai #students #hellskitchen #manhattan #nyc
624007018907611137,46736858,-73.975132,40.771991,1437609841,#centralpark #nyc #summer
624007099325001728,16091434,-73.967259,40.673466,1437609860,#santiago #barriobrasil #street #graffiti #streetart #chile #wndr #ecoveyphoto #series
624007118174191616,186660826,-73.926583,40.829261,1437609865,#yankeesstadium #nyy #aroids
624007224646610944,43256481,-73.958214,40.717266,1437609890,#nyc #snapchat #live #photo #video
624007265369071616,318511222,-73.971048,40.772673,1437609900,#xambassadors #gorgeous #nowplaying #favoritesong #bestnewband #besties
624007286059610113,20463865,-73.946915,40.876878,1437609905,#deer #hiking #nature #palisades
624007350580592644,30865502,-73.156883,40.64901,1437609920,#summertime #fireislandpines #cottoncandy #brazilianbikini #fireisland
624007521712345088,1177875919,-74.032356,40.62207,1437609961,#toryburch #leopard #tote #bag #travel
624007548182654976,105706140,-73.985131,40.758895,1437609967,#nyc #manhattan #timesquare
624007601597075456,17613043,-73.986981,40.720401,1437609980,#happynappybirthday #internationalcelebrateankynosday2015
624007637651324928,312112566,-73.951556,40.793222,1437609988,#newyorkcity #beatstreet #harlem #uptownbounce #nyc #hiphop
624007685269266432,66370997,-73.985131,40.758895,1437610000,#summerselfie #timessquare #newyork
624007736141946880,90325801,-73.782609,40.64407,1437610012,#saltlakecity #pride #skullcandy
624007801866702849,552875318,-73.983871,40.72723,1437610028,#octopus #manhattan #nyc #timna #eastvillage
624007817138171904,208074475,-74.049537,40.726008,1437610031,#bears #china #bilefarms
624007837941940224,33549710,-73.957512,40.721996,1437610036,#bestdaypartyibeentooever #rcaconnect #2015dayout #randyfranklin
624007842622783488,14977481,-73.988524,40.745919,1437610037,#topchef #nyc
624007871739637760,117935896,-73.949449,40.75391,1437610044,#lic #longisland #longislandcity #penthouse808 #rayban #raybans #ravel
624007936143151104,97524453,-73.799792,40.645434,1437610060,#workflow #jfk #sunset
624007944934436864,912512030,-73.988769,40.779756,1437610062,#birthdaygirl #greatgatsby #summer #nyc #moviesonthehudson
624007954778431488,594953514,-73.96598,40.761459,1437610064,#fitforaking #eventlife #workflow
